stream,metric,method,bwt,memory_mb,p99_ms,near_rt,vs_ref,ci,d_z,p,holm,avg_perf,forgetting
slice-shift,bwt,ewc,"-0.0108 [-0.0128, -0.0088]",1.522,0.97,True,-0.0084,"[-0.0097, -0.0072]",-4.79,0.0652,,,
slice-shift,bwt,finetune,"-0.0103 [-0.0117, -0.0084]",0.0,0.91,True,-0.0079,"[-0.0095, -0.0061]",-3.44,0.0652,,,
slice-shift,bwt,joint,"0.0000 [0.0000, 0.0000]",0.0,0.92,True,+0.0024,"[+0.0015, +0.0034]",1.88,0.0652,,,
slice-shift,bwt,lwf,"-0.0025 [-0.0035, -0.0010]",0.761,0.89,True,-0.0001,"[-0.0015, +0.0013]",-0.05,0.9359,,,
slice-shift,bwt,nestedric,"0.0030 [-0.0006, 0.0066]",3.999,2.39,True,+0.0055,"[+0.0012, +0.0097]",0.98,0.1245,,,
slice-shift,bwt,replay,"-0.0024 [-0.0034, -0.0015]",3.998,1.08,True,,,,,,,
slice-shift,bwt,si,"-0.0049 [-0.0068, -0.0029]",3.043,0.96,True,-0.0025,"[-0.0052, +0.0005]",-0.7,0.2581,,,
slice-shift,bwt,titans,"-0.0107 [-0.0119, -0.0093]",4.0,1.06,True,-0.0083,"[-0.0099, -0.0069]",-4.21,0.0652,,,
cross-dataset,avg_perf,agem,,3.998,1.02,True,+0.0063,"[+0.0055, +0.0071]",6.0,0.0652,,"-0.0470 [-0.0477, -0.0465]",
cross-dataset,avg_perf,bilevel,,0.761,0.9,True,-0.0157,"[-0.0191, -0.0126]",-3.82,0.0652,,"-0.0690 [-0.0720, -0.0661]",
cross-dataset,avg_perf,ewc,,1.522,0.95,True,-0.0086,"[-0.0114, -0.0069]",-2.79,0.0652,,"-0.0620 [-0.0641, -0.0604]",
cross-dataset,avg_perf,finetune,,0.0,0.9,True,-0.0139,"[-0.0170, -0.0116]",-4.01,0.0652,,"-0.0672 [-0.0696, -0.0655]",
cross-dataset,avg_perf,joint,,0.0,1.21,True,+0.0075,"[+0.0062, +0.0087]",4.75,0.0652,,"-0.0458 [-0.0469, -0.0451]",
cross-dataset,avg_perf,lwf,,0.761,0.89,True,-0.0071,"[-0.0089, -0.0055]",-3.39,0.0652,,"-0.0605 [-0.0615, -0.0590]",
cross-dataset,avg_perf,nestedric,,3.999,2.12,True,-0.0248,"[-0.0296, -0.0199]",-3.8,0.0652,,"-0.0782 [-0.0827, -0.0735]",
cross-dataset,avg_perf,replay,,3.998,0.9,True,,,,,,"-0.0533 [-0.0539, -0.0526]",
cross-dataset,avg_perf,si,,3.043,0.9,True,+0.0005,"[-0.0017, +0.0025]",0.17,0.8172,,"-0.0529 [-0.0544, -0.0513]",
cross-dataset,avg_perf,titans,,4.0,0.9,True,-0.0127,"[-0.0160, -0.0111]",-3.48,0.0652,,"-0.0661 [-0.0687, -0.0645]",
cyclic,avg_perf,agem,,3.998,0.9,True,+0.0087,"[+0.0077, +0.0098]",6.49,0.0652,,"-0.0493 [-0.0496, -0.0490]",
cyclic,avg_perf,bilevel,,0.761,0.92,True,-0.0020,"[-0.0037, -0.0001]",-0.87,0.1878,,"-0.0600 [-0.0616, -0.0584]",
cyclic,avg_perf,ewc,,1.522,0.9,True,+0.0029,"[+0.0012, +0.0043]",1.48,0.0652,,"-0.0551 [-0.0566, -0.0533]",
cyclic,avg_perf,finetune,,0.0,1.18,True,+0.0008,"[-0.0012, +0.0028]",0.32,0.5651,,"-0.0572 [-0.0594, -0.0550]",
cyclic,avg_perf,joint,,0.0,0.9,True,+0.0058,"[+0.0034, +0.0073]",2.16,0.0652,,"-0.0523 [-0.0539, -0.0512]",
cyclic,avg_perf,lwf,,0.761,0.93,True,-0.0017,"[-0.0039, +0.0002]",-0.67,0.3142,,"-0.0597 [-0.0616, -0.0579]",
cyclic,avg_perf,nestedric,,3.999,2.15,True,-0.0058,"[-0.0076, -0.0044]",-2.73,0.0652,,"-0.0638 [-0.0653, -0.0628]",
cyclic,avg_perf,replay,,3.998,0.92,True,,,,,,"-0.0580 [-0.0590, -0.0570]",
cyclic,avg_perf,si,,3.043,1.0,True,+0.0037,"[+0.0024, +0.0047]",2.55,0.0652,,"-0.0543 [-0.0553, -0.0533]",
cyclic,avg_perf,titans,,4.0,1.09,True,+0.0009,"[-0.0010, +0.0025]",0.39,0.4445,,"-0.0571 [-0.0583, -0.0558]",
